2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:58:00 (PG,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:55:00 (PG,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:50:00 (NIO,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:58:00 (CRM,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:50:00 (MPC,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:55:00 (CRM,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:58:00 (NIO,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:50:00 (VLO,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:55:00 (NIO,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:58:00 (MPC,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:50:00 (COP,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:55:00 (MPC,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:58:00 (VLO,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:50:00 (PFE,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:55:00 (VLO,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:58:00 (COP,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:50:00 (VZ,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:55:00 (COP,0,0.00)
2022-11-04 20:17:15,555 |  IcnHost |    INFO | Record refprice at 15:58:00 (PFE,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:50:00 (C,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:55:00 (PFE,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:58:00 (VZ,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:50:00 (KO,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:55:00 (VZ,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:58:00 (C,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:50:00 (PXD,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:55:00 (C,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:58:00 (KO,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:50:00 (WFC,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:55:00 (KO,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:58:00 (PXD,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:50:00 (BMY,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:55:00 (PXD,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:58:00 (WFC,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:50:00 (MA,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:55:00 (WFC,0,0.00)
2022-11-04 20:17:15,556 |  IcnHost |    INFO | Record refprice at 15:58:00 (BMY,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:50:00 (NKE,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:55:00 (BMY,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:58:00 (MA,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:50:00 (DIS,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:55:00 (MA,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:58:00 (NKE,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:50:00 (LLY,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:55:00 (NKE,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:58:00 (DIS,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:50:00 (ABBV,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:55:00 (DIS,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:58:00 (LLY,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:50:00 (T,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:55:00 (LLY,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:58:00 (ABBV,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:50:00 (SHOP,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:55:00 (ABBV,0,0.00)
2022-11-04 20:17:15,557 |  IcnHost |    INFO | Record refprice at 15:58:00 (T,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:50:00 (DVN,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:55:00 (T,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:58:00 (SHOP,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:50:00 (WMT,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:55:00 (SHOP,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:58:00 (DVN,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:50:00 (SPGI,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:55:00 (DVN,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:58:00 (WMT,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:50:00 (LOW,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:55:00 (WMT,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:58:00 (SPGI,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:50:00 (MO,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:55:00 (SPGI,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:58:00 (LOW,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:50:00 (CAT,0,0.00)
2022-11-04 20:17:15,558 |  IcnHost |    INFO | Record refprice at 15:55:00 (LOW,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:58:00 (MO,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:50:00 (RBLX,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:55:00 (MO,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:58:00 (CAT,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:50:00 (SQ,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:55:00 (CAT,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:58:00 (RBLX,0,0.00)
